Table Name,dl_off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Description,message for dl off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single entry bitwidth,32 * 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base type bit layout,,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
Bit Field Name,,,RES0,,,,,,,,,RB,REF_INDEX,,,,TIMING,,OPCODE,,,,,,,,,,,,,,,
Bit Field Description,,,reserved,,,,,,,,,unused,Timing reference the relative timing mode uses. Makes use of the time reference message. Time on the reference message forms the base time for relative timing mode.See Set ref message for more info.,,,,selects the timing mode absolute/relative/immediate.Absolute runs at the specified BFN. Relative - Timestamp is relative to time reference. Immediate ignores timing and executes ASAP,,opcode,,,,,,,,,,,,,,,
Unit [string],,,value,,,,,,,,,,value,,,,value,,value,,,,,,,,,,,,,,,
Granularity,,,0,,,,,,,,,,0,,,,0,,1,,,,,,,,,,,,,,,
Minimum Value,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Maximum Value,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,,unsigned,unsigned,,,,e_timing_type_t,,e_opcode_type_t,,,,,,,,,,,,,,,
Bit Field Width,,,9,,,,,,,,,1,4,,,,2,,16,,,,,,,,,,,,,,,
Bit Field Name,,,timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Description,,,"BFN OTA time.In absolute mode, the timestamp is the network time for the event.In relative mode , this field denotes the delta from set reference message.Immediate ignores the field",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit [string],,,983 Mhz clock tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granularity,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Width,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bit Field Name,,,QUAD_MASK3,,,,QUAD_MASK2,,,,QUAD_MASK1,,,,QUAD_MASK0,,,,RES1,,,,,,,,,,,,,,MODE,
Bit Field Description,,,Mask to indicate quads that are activated with delayed timing relative to timestamp,,,,Mask to indicate quads that are activated with delayed timing relative to timestamp,,,,Mask to indicate quads that are activated with delayed timing relative to timestamp,,,,Mask to indicate quads that are activated at the message timestamp,,,,reserved,,,,,,,,,,,,,,"Off Modes- 0: Normal,1:Cal _En, 2:OFF_Stop",
Unit [string],,,value,,,,value,,,,value,,,,value,,,,value,,,,,,,,,,,,,,,
Granularity,,,1,,,,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,
Minimum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,unsigned,,,,unsigned,,,,unsigned,,,,unsigned,,,,,,,,,,,,,,unsigned,
Bit Field Width,,,4,,,,4,,,,4,,,,4,,,,14,,,,,,,,,,,,,,2,
Bit Field Name,,,RES3,,,,QUAD_DELAY2,,,,,,,,,,,,RES2,,,,QUAD_DELAY1,,,,,,,,,,,
Bit Field Description,,,reserved,,,,Time delay from timestamp to activation of quads specified in quad_mask2,,,,,,,,,,,,reserved,,,,Time delay from timestamp to activation of quads specified in quad_mask1,,,,,,,,,,,
Unit [string],,,0,,,,value,,,,,,,,,,,,value,,,,value,,,,,,,,,,,
Granularity,,,1,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,
Minimum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,unsigned,,,,,,,,,,,,unsigned,,,,unsigned,,,,,,,,,,,
Bit Field Width,,,4,,,,12,,,,,,,,,,,,4,,,,12,,,,,,,,,,,
Bit Field Name,,,RES4,,,,,,,,,,,,,,,,,,,,QUAD_DELAY3,,,,,,,,,,,
Bit Field Description,,,reserved,,,,,,,,,,,,,,,,,,,,Time delay from timestamp to activation of quads specified in quad_mask3,,,,,,,,,,,
Unit [string],,,0,,,,,,,,,,,,,,,,,,,,value,,,,,,,,,,,
Granularity,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Minimum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sign Type,,,unsigned,,,,,,,,,,,,,,,,,,,,unsigned,,,,,,,,,,,
Bit Field Width,,,20,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,
